Kode_Wilayah;Wilayah;Slug
1;BBKSDA Jawa Barat;bbksda_jawa_barat
2;BBKSDA Jawa Timur;bbksda_jawa_timur
3;BBKSDA Riau;bbksda_riau
4;BBKSDA Sulawesi Selatan;bbksda_sulawesi_selatan
5;BBKSDA Sumatera Utara;bbksda_sumatera_utara
6;BKSDA Aceh;bksda_aceh
7;BKSDA Bali;bksda_bali
8;BKSDA Bengkulu Lampung;bksda_bengkulu_lampung
9;BKSDA Jakarta;bksda_jakarta
10;BKSDA Jambi;bksda_jambi
11;BKSDA Jawa Tengah;bksda_jawa_tengah
12;BKSDA Kalimantan Barat;bksda_kalimantan_barat
13;BKSDA Kalimantan Selatan;bksda_kalimantan_selatan
14;BKSDA Kalimantan Timur;bksda_kalimantan_timur
15;BKSDA NTB;bksda_ntb
16;BKSDA Sulawesi Utara ;bksda_sulawesi_utara_
17;BKSDA Sumatera Barat;bksda_sumatera_barat
18;BKSDA Sumatera Selatan;bksda_sumatera_selatan
19;BKSDA Yogyakarta;bksda_yogyakarta
